gadget_name,function
Sound Camera,capture and replays sounds
Sound Camera,Captures and replays auditory sensation
Sound Camera,Captures and rematch sounds
Cat Caller,Summons khat with a whistle
Cat Caller,bidding cats with a whistle
Cat Caller,Summons cat-o'-nine-tails with a whistle
Cat Caller,process cats with a whistle
Cat Caller,Summons cats with a whistle
Super Gloves,Grants super strength
Super Gloves,Grants super persuasiveness
Super Gloves,Grants first-rate strength
Super Gloves,Grants super lastingness
Super Gloves,subsidisation super strength
Air Car,Flying railcar powered by air
Air Car,vaporize car powered by air
Air Car,Flying car powered by air
Air Car,Flying car powered by zephyr
Air Car,Flying car powered by melody
4D Pocket,Stores myriad gadgets
4D Pocket,Stores infinite gadgets
4D Pocket,shop infinite gadgets
4D Pocket,Stores infinite contrivance
4D Pocket,Stores infinite widget
Gadget Maker,Creates custom gadgets
Gadget Maker,Creates custom appliance
Gadget Maker,Creates custom gizmo
Gadget Maker,Creates custom contrivance
Gadget Maker,Creates custom gismo
Nobita's Dad's Used Gadget,Random honest-to-goodness gadgets
Nobita's Dad's Used Gadget,Random old gadgets
Nobita's Dad's Used Gadget,Random old gizmo
Nobita's Dad's Used Gadget,Random old gismo
Nobita's Dad's Used Gadget,Random old convenience
Devil's Passport,Grants unlimited indirect request
Devil's Passport,Grant unlimited wishes
Devil's Passport,Grants outright wishes
Devil's Passport,Grants unlimited want
Devil's Passport,Grants unlimited wishes
Gian's Super Summoner,summons Gian forcibly
Gian's Super Summoner,process Gian forcibly
Gian's Super Summoner,bidding Gian forcibly
Gian's Super Summoner,Summons Gian forcibly
Survival Food,Tiny food that expands
Survival Food,flyspeck food that expands
Survival Food,Tiny intellectual nourishment that expands
Survival Food,midget food that expands
Survival Food,diminutive food that expands
Excitement Meter,quantity excitement level
Excitement Meter,Measures excitement degree
Excitement Meter,Measures excitement grade
Excitement Meter,Measures excitement level
Excitement Meter,step excitement level
All-Season AC,control condition weather locally
All-Season AC,Controls weather topically
All-Season AC,restraint weather locally
All-Season AC,mastery weather locally
All-Season AC,Controls weather locally
Robot Pet,Customizable robot pet
Robot Pet,Customizable robot PET
Robot Pet,Customizable automaton pet
Robot Pet,Customizable robot positron emission tomography
Robot Pet,Customizable robot favourite
Lie Detector,Detects prevarication
Lie Detector,Detects Trygve Lie
Lie Detector,Detects lie
Lie Detector,Detects Lie
Lie Detector,Detects lies
Happy Memories,Relives well-chosen memories
Happy Memories,Relives happy storage
Happy Memories,Relives happy memories
Happy Memories,Relives felicitous memories
Happy Memories,Relives happy store
Dorami's Mini-Door,Smaller Anywhere Door
Dorami's Mini-Door,Smaller Anywhere room access
Dorami's Mini-Door,Smaller Anywhere doorway
Dorami's Mini-Door,Smaller Anywhere door
Dorami's Mini-Door,Smaller Anywhere threshold
Misuse Psychokinesis,relocation objects with mind
Misuse Psychokinesis,Moves object with mind
Misuse Psychokinesis,movement objects with mind
Misuse Psychokinesis,Moves objects with mind
Misuse Psychokinesis,motility objects with mind
Time Capsule,Sends objects to future
Time Capsule,Sends target to future
Time Capsule,Sends physical object to future
Time Capsule,Sends objective to future
Time Capsule,Sends aim to future
Clone Mirror,Creates duplication
Clone Mirror,Creates extra
Clone Mirror,Creates duplicates
Clone Mirror,Creates duplicate
Santa Set,Becomes Santa
Santa Set,suit Santa
Santa Set,become Santa
Santa Set,Becomes Father Christmas
Santa Set,turn Santa
Pet Impersonator Cap,Talk to brute
Pet Impersonator Cap,Talk to fauna
Pet Impersonator Cap,Talk to animals
Pet Impersonator Cap,talk to animals
Pet Impersonator Cap,talk of the town to animals
Doraemon's Bell,process Doraemon
Doraemon's Bell,bidding Doraemon
Doraemon's Bell,Summons Doraemon
Doraemon's Bell,summons Doraemon
What-If Box,Simulates understudy realities
What-If Box,Simulates flip-flop realities
What-If Box,Simulates alternate realities
What-If Box,Simulates alternate world
What-If Box,Simulates alternate realness
Almighty Pass,Grants admittance to any place
Almighty Pass,Grants access to any stead
Almighty Pass,Ulysses S. Grant access to any place
Almighty Pass,Grant access to any place
Almighty Pass,Grants access to any place
Cat Robot Kit,Raises a robot hombre
Cat Robot Kit,nurture a robot cat
Cat Robot Kit,Raises a robot bozo
Cat Robot Kit,Raises a robot cat
Cat Robot Kit,upraise a robot cat
Invisibility Cloak,shuffle wearer invisible
Invisibility Cloak,brand wearer invisible
Invisibility Cloak,Makes wearer invisible
Invisibility Cloak,make wearer invisible
Invisibility Cloak,Makes wearer inconspicuous
Sticky Paper,marijuana cigarette objects to surfaces
Sticky Paper,Sticks physical object to surfaces
Sticky Paper,Sticks objects to surfaces
Sticky Paper,joystick objects to surfaces
Sticky Paper,Sticks objects to surface
Time Warp Candy,Speeds up/slows downwardly time locally
Time Warp Candy,Speeds up/slows downwards time locally
Time Warp Candy,Speeds up/slows down clip locally
Time Warp Candy,Speeds up/slows down prison term locally
Time Warp Candy,Speeds up/slows down time locally
Clone Fork,Creates edible clones of food
Clone Fork,Creates edible clone of food
Clone Fork,Creates edible knockoff of food
Clone Fork,Creates edible clones of intellectual nourishment
Clone Fork,Creates eatable clones of food
Dream Balloon,Flies use happy thoughts
Dream Balloon,tent flap using happy thoughts
Dream Balloon,fly ball using happy thoughts
Dream Balloon,Flies using well-chosen thoughts
Dream Balloon,Flies using happy thoughts
Devil's Statue,Grants bid with a catch
Devil's Statue,Grants wishes with a catch
Devil's Statue,Grants care with a catch
Devil's Statue,Grants wishes with a match
Devil's Statue,Duncan James Corrow Grant wishes with a catch
Human Maker,Creates temporary clones
Human Maker,Creates temporary dead ringer
Human Maker,Creates irregular clones
Human Maker,Creates temporary clon
Human Maker,Creates impermanent clones
Nobita's Zero-Score Test,Changes test reply
Nobita's Zero-Score Test,Changes try out answers
Nobita's Zero-Score Test,Changes test answers
Nobita's Zero-Score Test,Changes test result
Nobita's Zero-Score Test,alteration test answers
Terror Panties,scare anyone who sees them
Terror Panties,Scares anyone who find out them
Terror Panties,panic anyone who sees them
Terror Panties,panic attack anyone who sees them
Terror Panties,Scares anyone who sees them
String Portal,Enters a world inside string art
String Portal,Enters a creation inside string art
String Portal,Enters a world inside draw art
String Portal,Enters a humankind inside string art
String Portal,Enters a human race inside string art
Robot Hair,Hair that acts like hands
Robot Hair,Hair that play like hands
Robot Hair,Hair that acts like bridge player
Robot Hair,Hair that acts like custody
Robot Hair,hairsbreadth that acts like hands
Earthquake Training Paper,Simulates earthquake
Earthquake Training Paper,Simulates seism
Earthquake Training Paper,Simulates earthquakes
Earthquake Training Paper,Simulates temblor
Earthquake Training Paper,Simulates quake
Spider Silk Rope,Unbreakable sticky rope
Spider Silk Rope,Unbreakable sticky circle
Spider Silk Rope,Unbreakable sticky Mexican valium
Spider Silk Rope,Unbreakable sticky roofy
Spider Silk Rope,unbreakable sticky rope
Snow Artist,Creates snow sculptures instantly
Snow Artist,Creates snow sculptures straight off
Snow Artist,Creates snow sculpt instantly
Snow Artist,Creates snow sculptures at once
Snow Artist,Creates snow sculptures like a shot
House Robot,Turns house into a golem
House Robot,Turns menage into a robot
House Robot,Turns mansion into a robot
House Robot,Turns house into a robot
House Robot,Turns house into a automaton
Pencil Missile,Pencil that get a missile
Pencil Missile,Pencil that suit a missile
Pencil Missile,Pencil that become a missile
Pencil Missile,Pencil that becomes a missile
Pencil Missile,pencil that becomes a missile
Human Magnet,Attracts hoi polloi to user
Human Magnet,Attracts mass to user
Human Magnet,Attracts people to user
Human Magnet,Attracts masses to user
Human Magnet,Attracts multitude to user
Nobita's Dinosaur,Hatches a pet dinosaur
Nobita's Dinosaur,Hatches a ducky dinosaur
Nobita's Dinosaur,Hatches a positron emission tomography dinosaur
Nobita's Dinosaur,hatch a pet dinosaur
Nobita's Dinosaur,think of a pet dinosaur
Space Egg,Grows into a starship
Space Egg,Grows into a spaceship
Bird Cap,Ulysses S. Grant ability to fly like a bird
Bird Cap,Grants ability to fly like a bird
Bird Cap,Grants power to fly like a bird
Bird Cap,Grants ability to aviate like a bird
Bird Cap,Grants ability to fell like a bird
Chameleon Cream,Blends into environs
Chameleon Cream,Blends into environment
Chameleon Cream,portmanteau into surroundings
Chameleon Cream,blend into surroundings
Chameleon Cream,Blends into surroundings
Devil's Card,Grants disconsolate wishes
Devil's Card,Grants dark wishes
Devil's Card,subsidization dark wishes
Devil's Card,Grants drab wishes
Devil's Card,President Grant dark wishes
Moon Exploration Kit,research the moon
Moon Exploration Kit,Explores the moon
Moon Exploration Kit,Explores the moonlight
Moon Exploration Kit,Explores the Sun Myung Moon
Moon Exploration Kit,Explores the Moon
Wind Bandana,Controls wind direction
Wind Bandana,Controls weave direction
Wind Bandana,ascendency wind direction
Wind Bandana,ascendance wind direction
Wind Bandana,command wind direction
Cloud Controller,Shapes clouds into objects
Cloud Controller,Shapes clouds into objective
Cloud Controller,Shapes fog into objects
Cloud Controller,SHAPE clouds into objects
Cloud Controller,figure clouds into objects
Time Camera,Takes photo of past/future
Time Camera,Takes photos of past/future
Time Camera,Takes exposure of past/future
Time Camera,Takes photograph of past/future
Time Camera,Takes pic of past/future
Human Puppeteer,controller others like puppets
Human Puppeteer,Controls others like marionette
Human Puppeteer,ascendance others like puppets
Human Puppeteer,Controls others like creature
Human Puppeteer,Controls others like puppets
Cursed Camera,torment photographed subjects
Cursed Camera,Curses photographed topic
Cursed Camera,expletive photographed subjects
Cursed Camera,Curses photographed subjects
Cursed Camera,oath photographed subjects
Jungle Arm,extendable arm for grabbing
Jungle Arm,Extendable limb for grabbing
Jungle Arm,Extendable arm for seize
Jungle Arm,Extendable arm for grabbing
Jungle Arm,Extendable arm for snaffle
Shadow Stomp Oil,Traps dwarf to immobilize
Shadow Stomp Oil,Traps shadows to immobilize
Shadow Stomp Oil,Traps shade off to immobilize
Shadow Stomp Oil,Traps shadows to immobilise
Shadow Stomp Oil,ambush shadows to immobilize
Weather Box,Changes local weather condition
Weather Box,variety local weather
Weather Box,Changes local weather
Weather Box,Changes local atmospheric condition
Weather Box,alteration local weather
Copy Remote,Duplicates aim
Copy Remote,extra objects
Copy Remote,Duplicates objects
Copy Remote,Duplicates physical object
Copy Remote,Duplicates object
Reverse Earrings,reversion words/actions
Reverse Earrings,revers words/actions
Reverse Earrings,contrary words/actions
Reverse Earrings,black eye words/actions
Reverse Earrings,Reverses words/actions
Human Diorama,Shrinks citizenry into dioramas
Human Diorama,Shrinks multitude into dioramas
Human Diorama,Shrinks people into dioramas
Human Diorama,Shrinks masses into dioramas
Human Diorama,Shrinks people into diorama
Dorami's Pocket,Dorami's 4D pocket
Dorami's Pocket,Dorami 's 4D sac
Dorami's Pocket,Dorami 's 4D scoop
Dorami's Pocket,Dorami 's 4D sack
Dorami's Pocket,Dorami 's 4D pouch
Future Piggy Bank,Grows money over time
Future Piggy Bank,Grows money over fourth dimension
Future Piggy Bank,Grows money over metre
Future Piggy Bank,Grows money over prison term
Future Piggy Bank,Grows money over sentence
Devil's Dice,alteration reality based on rolls
Devil's Dice,Changes reality base on rolls
Devil's Dice,Changes reality based on pealing
Devil's Dice,Changes reality based on rolls
Devil's Dice,Changes reality establish on rolls
Friendship Circle,Forces friendship hamper
Friendship Circle,Forces friendship bond certificate
Friendship Circle,force out friendship bonds
Friendship Circle,Forces friendship bonds
Friendship Circle,Forces friendship bond paper
Time Capsule,Sends objects to the future
Time Capsule,Sends object to the future
Time Capsule,Sends objects to the futurity
Time Capsule,Sends target to the future
Time Capsule,Sends aim to the future
Reverse Clock,revers time for 5 minutes
Reverse Clock,Reverses clock time for 5 minutes
Reverse Clock,turnaround time for 5 minutes
Reverse Clock,Reverses metre for 5 minutes
Reverse Clock,Reverses time for 5 minutes
Human Antenna,Receives others' thoughts
Human Antenna,Receives others ' thinking
Human Antenna,obtain others ' thoughts
Human Antenna,welcome others ' thoughts
Human Antenna,Receives others ' intellection
Dream Channel,Watches others' dreams
Dream Channel,scout others ' dreams
Dream Channel,sentry others ' dreams
Dream Channel,Watches others ' dreaming
Dream Channel,Watches others ' dream
Lie Stockings,Forces wearer to lie down
Lie Stockings,military force wearer to lie
Lie Stockings,Forces wearer to consist
Lie Stockings,Forces wearer to lie
Lie Stockings,force play wearer to lie
Fate Umbrella,change destiny temporarily
Fate Umbrella,variety destiny temporarily
Fate Umbrella,modification destiny temporarily
Fate Umbrella,Changes destiny temporarily
Fate Umbrella,alteration destiny temporarily
Animal Headphones,dialogue to animals
Animal Headphones,Talks to animals
Animal Headphones,public lecture to animals
Animal Headphones,Talks to fauna
Animal Headphones,talks to animals
Space Cream,Creates mini-planets
Invisible Ink,indite invisible messages
Invisible Ink,Writes invisible subject matter
Invisible Ink,Writes invisible content
Invisible Ink,Writes inconspicuous messages
Invisible Ink,Writes invisible messages
Effort Rule,Forces hard study
Effort Rule,Forces hard work
Effort Rule,military group hard work
Effort Rule,Forces hard workplace
Effort Rule,Forces unvoiced work
Dorami's Time Machine,Cute pink metre machine
Dorami's Time Machine,Cute pink time machine
Dorami's Time Machine,Cute pinko time machine
Dorami's Time Machine,Cute pink clip machine
Dorami's Time Machine,Cute pink time automobile
Devil's Contract,Grants superpower for a price
Devil's Contract,Grants power for a Price
Devil's Contract,Grants major power for a price
Devil's Contract,Grants powerfulness for a price
Devil's Contract,Grants power for a price
Human RC Controller,Controls hoi polloi remotely
Human RC Controller,mastery people remotely
Human RC Controller,Controls mass remotely
Human RC Controller,ascendence people remotely
Human RC Controller,Controls people remotely
Safari Park Set,Creates mini-safari
Magic Lamp,Genie grants 3 want
Magic Lamp,Genie grants 3 wishes
Magic Lamp,jinnee grants 3 wishes
Magic Lamp,Genie grants 3 wishing
Magic Lamp,genie grants 3 wishes
Shadow Frame,ambush shadows to control others
Shadow Frame,Traps shadows to insure others
Shadow Frame,Traps shadows to control others
Shadow Frame,Traps shadows to hold in others
Shadow Frame,yap shadows to control others
Nobita's Castle,Builds a castling instantly
Nobita's Castle,Builds a castle straight off
Nobita's Castle,physique a castle instantly
Nobita's Castle,Builds a rook instantly
Nobita's Castle,Builds a castle instantly
4D Trash Bin,Disposes items into vacancy
4D Trash Bin,Disposes items into nihility
4D Trash Bin,Disposes items into void
4D Trash Bin,Disposes token into void
4D Trash Bin,Disposes point into void
Weather Board,Predicts weather
Weather Board,Predicts endure
Weather Board,Predicts brave
Weather Board,Predicts brave out
Time Belt,Time-travels on a path
Time Belt,Time-travels on a way
Time Belt,Time-travels on a itinerary
Time Belt,Time-travels on a course
Time Belt,Time-travels on a track
Psychic Chalk,lottery come to life
Psychic Chalk,Drawings fare to life
Psychic Chalk,drawing off come to life
Psychic Chalk,Drawings come to life
Psychic Chalk,Drawings get to life
Human Model Kit,Assembles a knockoff
Human Model Kit,Assembles a dead ringer
Human Model Kit,Assembles a ringer
Human Model Kit,Assembles a clon
Human Model Kit,Assembles a clone
Cursed DVD,Curses witness
Cursed DVD,bane viewers
Cursed DVD,jinx viewers
Cursed DVD,Curses viewers
Cursed DVD,Curses viewer
Doraemon's Ears,Restores Doraemon 's pinna
Doraemon's Ears,Restores Doraemon 's spike
Doraemon's Ears,Restores Doraemon's ears
Doraemon's Ears,Restores Doraemon 's ear
Doraemon's Ears,Restores Doraemon 's auricle
Pet Soap,twist objects into pets
Pet Soap,Turns target into pets
Pet Soap,Turns objects into pets
Pet Soap,Turns objective into pets
Pet Soap,Turns objects into dearie
Dream Dice,Changes dream based on rolls
Dream Dice,Changes dreams based on ringlet
Dream Dice,Changes dreams based on pealing
Dream Dice,Changes dreams based on rolls
Dream Dice,Changes dreams free-base on rolls
Space Clip,Creates zero-gravity zones
Space Clip,create zero-gravity zones
Space Clip,produce zero-gravity zones
Space Clip,Creates zero-gravity zone
Space Clip,Creates zero-gravity zona
Devil's Hammer,Alters object place
Devil's Hammer,Alters object properties
Devil's Hammer,Alters object dimension
Devil's Hammer,Alters object property
Devil's Hammer,Alters object belongings
Time Dryer,Ages objects outright
Time Dryer,Ages aim instantly
Time Dryer,geezerhood objects instantly
Time Dryer,Ages objects instantly
Time Dryer,age objects instantly
Human Encyclopedia,Teaches any acquirement
Human Encyclopedia,Thatch any skill
Human Encyclopedia,Teach any skill
Human Encyclopedia,Teaches any skill
Human Encyclopedia,Edward Teach any skill
Dorami's Pump,Inflates objective to giant size
Dorami's Pump,Inflates objects to giant size of it
Dorami's Pump,Inflates objects to giant size
Dorami's Pump,Inflates physical object to giant size
Dorami's Pump,Inflates objects to giant sizing
Future Newspaper,read future events
Future Newspaper,Reads next events
Future Newspaper,Reads succeeding events
Future Newspaper,Reads future events
Future Newspaper,Reads future effect
Terror Box,Summons user 's reverence
Terror Box,Summons exploiter 's fears
Terror Box,Summons user 's care
Terror Box,Summons user's fears
Terror Box,Summons user 's concern
Wind Mane,Controls violent storm
Wind Mane,ascendency storms
Wind Mane,Controls storms
Wind Mane,restraint storms
Wind Mane,Controls tempest
Robot Seed,Grows a robot plant
Robot Seed,Grows a golem plant
Robot Seed,maturate a robot plant
Robot Seed,mature a robot plant
Robot Seed,Grows a robot flora
Lie Body,Physical lies become real
Lie Body,Physical lies suit real
Lie Body,physical lies become real
Lie Body,Physical lies go real
Lie Body,Physical consist become real
Dorayaki Maker,Makes infinite dorayaki
Dorayaki Maker,shuffling infinite dorayaki
Dorayaki Maker,brand infinite dorayaki
Dorayaki Maker,Makes space dorayaki
Dorayaki Maker,make infinite dorayaki
Time Scope,Spy on past/future
Time Scope,spy on past/future
Time Scope,undercover agent on past/future
Human Paper,Folds into human shapes
Human Paper,sheepfold into human shapes
Human Paper,Folds into human anatomy
Human Paper,bend into human shapes
Human Paper,Folds into human configuration
4D Mailbox,Sends letters to past/future
4D Mailbox,send letters to past/future
4D Mailbox,Sends alphabetic character to past/future
4D Mailbox,Sends letter to past/future
4D Mailbox,post letters to past/future
Cloud AC,Adjusts obnubilate temperature
Cloud AC,Adjusts corrupt temperature
Cloud AC,Adjusts defile temperature
Cloud AC,Adjusts obscure temperature
Cloud AC,Adjusts cloud temperature
Devil's Lens,Reveals dark truths
Devil's Lens,Reveals dark accuracy
Devil's Lens,Reveals dark Sojourner Truth
Devil's Lens,Reveals dark verity
Devil's Lens,Reveals dark Truth
Dorami's Helicopter,Mini whirlybird propeller
Dorami's Helicopter,miniskirt helicopter propeller
Dorami's Helicopter,Mini helicopter propeller
Dorami's Helicopter,Mini eggbeater propeller
Dorami's Helicopter,Mini helicopter propellor
Dream Lens,undertaking dreams
Dream Lens,project dreams
Dream Lens,Projects dreams
Dream Lens,labor dreams
Dream Lens,Projects dreaming
Human Cards,Turns people into cards
Human Cards,Turns mass into cards
Human Cards,Turns masses into cards
Human Cards,Turns people into plug-in
Human Cards,change by reversal people into cards
Time Card,halt time briefly
Time Card,Freezes clock time briefly
Time Card,freeze time briefly
Time Card,Freezes time briefly
Time Card,Freezes prison term briefly
Doraemon's Ribbon,Grants cat-like agility
Doraemon's Ribbon,Hiram Ulysses Grant cat-like agility
Doraemon's Ribbon,Grants cat-like lightsomeness
Doraemon's Ribbon,President Grant cat-like agility
Doraemon's Ribbon,Duncan James Corrow Grant cat-like agility
Devil's Umbrella,Curses those underneath
Devil's Umbrella,swearing those underneath
Devil's Umbrella,whammy those underneath
Devil's Umbrella,condemnation those underneath
Devil's Umbrella,curse word those underneath
4D Camping Set,Portable sack dimension
4D Camping Set,Portable pocket dimension
4D Camping Set,Portable pouch dimension
4D Camping Set,portable pocket dimension
4D Camping Set,Portable sac dimension
Future Album,Photos from the future
Future Album,photo from the future
Future Album,Photos from the future tense
Future Album,Photos from the futurity
Future Album,photograph from the future
Dorami's Lamp,Mini-genie for minuscule wishes
Dorami's Lamp,Mini-genie for small wishing
Dorami's Lamp,Mini-genie for small wishes
Dorami's Lamp,Mini-genie for small-scale wishes
Dorami's Lamp,Mini-genie for small indirect request
Devil's Camera,Steals souls in photos
Devil's Camera,Steals souls in photo
Devil's Camera,Steals souls in photograph
Devil's Camera,Steals souls in pic
Devil's Camera,Steals souls in picture
Space Yacht,canvass through space
Space Yacht,Sails through place
Space Yacht,Sails through space
Space Yacht,Sails through blank space
Space Yacht,Sails through outer space
Time Balloon,Floats through meter
Time Balloon,Floats through time
Time Balloon,Floats through metre
Time Balloon,Floats through clock time
Time Balloon,plasterer's float through time
Doraemon's Pocket,Access to 4D pocket
Doraemon's Pocket,admission to 4D pocket
Doraemon's Pocket,entree to 4D pocket
Doraemon's Pocket,accession to 4D pocket
Doraemon's Pocket,Access to 4D air pocket
Devil's Megaphone,command become reality
Devil's Megaphone,overtop become reality
Devil's Megaphone,overlook become reality
Devil's Megaphone,Commands become world
Devil's Megaphone,Commands become reality
4D Egg,Hatches into anything
4D Egg,hatching into anything
4D Egg,hatch into anything
4D Egg,hachure into anything
4D Egg,crosshatch into anything
Future Glasses,Sees future outcomes
Future Glasses,Sees future effect
Future Glasses,Sees future consequence
Future Glasses,see future outcomes
Future Glasses,Sees next outcomes
Dorami's Bag,Dorami 's gadget repositing
Dorami's Bag,Dorami 's gadget warehousing
Dorami's Bag,Dorami 's convenience storage
Dorami's Bag,Dorami's gadget storage
Dorami's Bag,Dorami 's gizmo storage
Devil's Siren,Summons catastrophe
Devil's Siren,process disasters
Devil's Siren,summons disasters
Devil's Siren,Summons disasters
Devil's Siren,Summons disaster
Space Clip,Creates wormhole
Space Clip,Creates wormholes
Time Arm,Retrieves target from time
Time Arm,Retrieves object from time
Time Arm,Retrieves objects from meter
Time Arm,Retrieves objects from time
Time Arm,Retrieves physical object from time
Doraemon's Bell,exigency summoning
Doraemon's Bell,Emergency summons
Doraemon's Bell,hand brake summoning
Doraemon's Bell,Emergency summoning
Doraemon's Bell,Emergency mobilize
Devil's Dance,force others to dance
Devil's Dance,Forces others to dance
Devil's Dance,force-out others to dance
Devil's Dance,military force others to dance
Devil's Dance,Forces others to trip the light fantastic
4D Canvas,Paintings get real
4D Canvas,Paintings become substantial
4D Canvas,Paintings become actual
4D Canvas,Paintings become real
4D Canvas,house painting become real
Future Radio,Hears succeeding broadcasts
Future Radio,Hears next broadcasts
Future Radio,Hears future program
Future Radio,Hears future broadcasts
Future Radio,Hears future programme
Dorami's Whistle,bidding Dorami
Dorami's Whistle,process Dorami
Dorami's Whistle,summons Dorami
Dorami's Whistle,Summons Dorami
Devil's Cards,Cards alter realism
Devil's Cards,card alter reality
Devil's Cards,identity card alter reality
Devil's Cards,Cards alter realness
Devil's Cards,Cards alter reality
Space Pen,Writes in zero-gravity
Time Stopper,Pauses clip
Time Stopper,Pauses time
Time Stopper,suspension time
Time Stopper,Pauses clock time
Time Stopper,Pauses meter
Space Exploration Set,Explores alien satellite
Space Exploration Set,Explores disaffect planets
Space Exploration Set,Explores estrange planets
Space Exploration Set,Explores alien major planet
Space Exploration Set,Explores alien planets
Evolution/Devolution Ray,Evolves or devolves lifeforms
Earth Destruction Bomb,Theoretical Doomsday device
Earth Destruction Bomb,Theoretical doomsday device
Earth Destruction Bomb,Theoretical doomsday twist
Earth Destruction Bomb,Theoretical crack of doom device
Earth Destruction Bomb,theoretical doomsday device
Space-Time Vibrator,Alters space-time
Plant Modifier Fluid,Creates sentient plant life
Plant Modifier Fluid,Creates sentient plant
Plant Modifier Fluid,Creates sentient plants
Plant Modifier Fluid,Creates sentient industrial plant
Plant Modifier Fluid,Creates sentient flora
Robot Modification Kit,Upgrades robot
Robot Modification Kit,acclivity robots
Robot Modification Kit,raise robots
Robot Modification Kit,Upgrades automaton
Robot Modification Kit,Upgrades robots
Undersea Demon Castle Robot,gargantuan underwater robot
Undersea Demon Castle Robot,Giant underwater automaton
Undersea Demon Castle Robot,Giant underwater golem
Undersea Demon Castle Robot,Giant underwater robot
Undersea Demon Castle Robot,elephantine underwater robot
Nobita's Creation Diary,Creates a micro-universe
Nobita's Creation Diary,create a micro-universe
Nobita's Creation Diary,produce a micro-universe
Nobita's Creation Diary,make a micro-universe
Magic Encyclopedia,Edward Thatch real magic
Magic Encyclopedia,Thatch real magic
Magic Encyclopedia,Teaches real legerdemain
Magic Encyclopedia,Teaches real thaumaturgy
Magic Encyclopedia,Teaches real magic
Time Machine (Future Shopping),Orders item from the future
Time Machine (Future Shopping),Orders items from the future
Time Machine (Future Shopping),monastic order items from the future
Time Machine (Future Shopping),Orders detail from the future
Time Machine (Future Shopping),Orders token from the future
Devil's Passport (Movie),ultimate wish-granting
Devil's Passport (Movie),Ultimate wish-granting
Cloud Kingdom Kit,Builds swim cities
Cloud Kingdom Kit,Builds blow cities
Cloud Kingdom Kit,Builds floating cities
Cloud Kingdom Kit,Builds be adrift cities
Cloud Kingdom Kit,Builds floating city
Animal Planet Device,Terraforms satellite
Animal Planet Device,Terraforms planets
Animal Planet Device,Terraforms planet
Animal Planet Device,Terraforms major planet
Nobita's Dinosaur (Movie),incubate a pet dinosaur
Nobita's Dinosaur (Movie),Hatches a pet dinosaur
Nobita's Dinosaur (Movie),dream up a pet dinosaur
